country,year,gini,category,gdppc
Argentina,2018,41.3,Spanish,23293.39863
Argentina,2019,42.9,Spanish,22999.27505
Armenia,2017,33.6,Russian,12115.13929
Armenia,2018,34.4,Russian,13020.39632
Armenia,2019,29.9,Russian,14231.18019
Azerbaijan,2004,26.6,Russian,5158.394594
Azerbaijan,2005,26.6,Russian,6737.146208
Belarus,2018,25.2,Russian,19430.27877
Belarus,2019,25.3,Russian,20094.52581
Colombia,2018,50.4,Spanish,14865.89324
Colombia,2019,51.3,Spanish,15621.08737
"Egypt, Arab Rep.",2015,31.8,British,11512.40214
"Egypt, Arab Rep.",2017,31.5,British,11014.48648
Estonia,2017,30.4,Russian,33821.93291
Estonia,2018,30.3,Russian,36158.81965
Fiji,2008,40.4,British,7777.738694
Fiji,2013,36.7,British,9536.326349
Georgia,2017,37.9,Russian,13589.70739
Georgia,2018,36.4,Russian,14595.63064
Georgia,2019,35.9,Russian,15623.15296
Guatemala,2006,54.6,Spanish,5894.584353
Guatemala,2014,48.3,Spanish,7758.49317
India,2009,35.4,British,3912.418211
India,2011,35.7,British,4493.669466
Iraq,2006,28.6,British,10646.21996
Iraq,2012,29.5,British,15163.35014
Ireland,2016,32.8,British,71498.60101
Ireland,2017,31.4,British,77749.20196
Italy,2016,35.2,Spanish,39926.95466
Italy,2017,35.9,Spanish,41581.12079
Jamaica,2002,48.3,British,6723.677974
Jamaica,2004,45.5,British,7300.058467
Kazakhstan,2017,27.5,Russian,24862.96612
Kazakhstan,2018,27.8,Russian,26157.65965
Kyrgyz Republic,2018,27.7,Russian,5256.397922
Kyrgyz Republic,2019,29.7,Russian,5480.742698
Latvia,2017,35.6,Russian,28673.5634
Latvia,2018,35.1,Russian,30811.07179
Lithuania,2017,37.3,Russian,33761.87124
Lithuania,2018,35.7,Russian,36365.36049
Luxembourg,2017,34.5,Spanish,114985.8422
Luxembourg,2018,35.4,Spanish,117245.2789
Malaysia,2013,41.3,British,23477.99117
Malaysia,2015,41.1,British,24801.88843
Malta,2017,29.2,British,42644.05085
Malta,2018,28.7,British,44482.23968
Mexico,2016,46.3,Spanish,19323.66587
Mexico,2018,45.4,Spanish,20258.81045
Moldova,2017,25.9,Russian,11651.31745
Morocco,2006,40.7,Spanish,5250.521676
Morocco,2013,39.5,Spanish,6916.013032
Myanmar,2015,38.1,British,4105.443377
Myanmar,2017,30.7,British,4224.545031
Netherlands,2017,28.5,Spanish,55088.6338
Netherlands,2018,28.1,Spanish,57901.09701
Nicaragua,2009,43.9,Spanish,3820.502917
Nicaragua,2014,46.2,Spanish,4941.699702
Paraguay,2018,46,Spanish,13135.69887
Paraguay,2019,45.7,Spanish,13149.03857
Peru,2018,42.4,Spanish,13088.29584
Peru,2019,41.5,Spanish,13397.27392
Russian Federation,2017,37.2,Russian,25926.44385
Russian Federation,2018,37.5,Russian,28681.78446
South Africa,2010,63.4,British,12912.12503
South Africa,2014,63,British,13602.10264
Spain,2017,34.7,Spanish,39528.92539
Spain,2018,34.7,Spanish,40686.98547
Sri Lanka,2012,38.7,British,10315.18025
Sri Lanka,2016,39.3,British,12224.21577
Tajikistan,2009,30.8,Russian,2208.889782
Tajikistan,2015,34,Russian,3150.427114
Ukraine,2018,26.1,Russian,12634.23555
Ukraine,2019,26.6,Russian,13350.48232
United Kingdom,2016,34.8,British,44635.29956
United Kingdom,2017,35.1,British,46372.3866
Uruguay,2018,39.7,Spanish,23588.15139
Uruguay,2019,39.7,Spanish,24006.78694
Uzbekistan,2002,33,Russian,2918.84535
Uzbekistan,2003,35.3,Russian,3063.037259
"Venezuela, RB",2005,49.5,Spanish,13657.81554
"Venezuela, RB",2006,44.8,Spanish,15219.71562
Zimbabwe,2017,44.3,British,3795.642431
Zimbabwe,2019,50.3,British,3783.547898
