Series Name,Series Code,Time,Time Code,Value
"Population, total",SP.POP.TOTL,2000,YR2000,6114332517
"Population, total",SP.POP.TOTL,2001,YR2001,6193671694
"Population, total",SP.POP.TOTL,2002,YR2002,6272753009
"Population, total",SP.POP.TOTL,2003,YR2003,6351882385
"Population, total",SP.POP.TOTL,2004,YR2004,6431551721
"Population, total",SP.POP.TOTL,2005,YR2005,6511748273
"Population, total",SP.POP.TOTL,2006,YR2006,6592734559
"Population, total",SP.POP.TOTL,2007,YR2007,6674203697
"Population, total",SP.POP.TOTL,2008,YR2008,6757020825
"Population, total",SP.POP.TOTL,2009,YR2009,6839574233
"Population, total",SP.POP.TOTL,2010,YR2010,6921877071
"Population, total",SP.POP.TOTL,2011,YR2011,7002880914
"Population, total",SP.POP.TOTL,2012,YR2012,7085790438
"Population, total",SP.POP.TOTL,2013,YR2013,7169675197
"Population, total",SP.POP.TOTL,2014,YR2014,7254292848
"Population, total",SP.POP.TOTL,2015,YR2015,7339076654
"Population, total",SP.POP.TOTL,2016,YR2016,7424484741
"Population, total",SP.POP.TOTL,2017,YR2017,7509410228
"Population, total",SP.POP.TOTL,2018,YR2018,7592475615
"Population, total",SP.POP.TOTL,2019,YR2019,7673345391
"Population, total",SP.POP.TOTL,2020,YR2020,7752840547
"Population, total",SP.POP.TOTL,2030,YR2030,8600000000
"Population, total",SP.POP.TOTL,2050,YR2050,9800000000
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/28/2021,,,,
